[L]

*LABR- = trabajar | #Raiz #Espro #Latin
*NAF- = nueve | #Raiz #Espro
*NAJF- = ingenuo | #Raiz #Espro #Nova #Frances
*NAN- = cuidar | #Raiz #Espro #Anglo
*NARK- = narcotico | #Raiz #Espro
*NATR- = bicarbonato de sodio | #Raiz #Espro #Arabe

*NE- = dentro | #Raiz #Espro
*NE- = negacion | #sufijo #Espro
*NE-PREM- = absolutamente | #Raiz #Espro
*NE-V- = nieve | #Raiz #Espro
*NEFT- = dios acuatico | #Raiz #Espro #Latin
*NEK- = muerte | #Raiz #Espro #Griego
*NEP- = nieto | #Raiz #Espro
*NER- = negro | #Raiz #Espro #Italico
*NES- = nido | #Raiz #Espro
*NIK- = victoria | #Raiz #Espro #Griego
*NINF- = ninfa | #Raiz #Espro

*NOC- = noche | #Raiz #Espro
*NOD- = cabecear | #Raiz #Espro #Nova
*NOJ- = nosotros | #Raiz #Espro #Nova
*NOM- = nombrar | #Raiz #Espro
*NON- = abuela | #Raiz #Espro #Italico
*NOR-O = norte | #Raiz #Espro
*NOS- = nariz | #Raiz #Espro
*NOT- = nota | #Raiz #Espro
*NOĈ- = indentacion | #Raiz #Espro

*NU-J = nuevo | #Raiz #Espro #Nat-mod
*NUB- = casarse | #Raiz #Espro #Latin
*NUB- = nube | #Raiz #Espro
*NUL- = nada | #Raiz #Espro #Nova
*NEFM- = aire | #Raiz #Espro #Griego
*NUR- = cerca | #Raiz #Espro #Anglo
*NUR- = cuerda | #Raiz #Espro
*NUŠ- = nuez | #Raiz #Espro
*NUO- = desnudo | #Raiz #Espro #Nova

[O]

*AVG- = Agosto | #Raiz #Espro #Latin
*-O- = bueno | #sufijo #Espro
*O- = bueno | #Raiz #Espro
*O- = esto | #sufijo #Espro
*O- = hola! | #Raiz #Espro #Español
*OBE- = obedecer | #Raiz #Espro #Nat-plen
*OC-T = ocho | #Raiz #Espro
*OD- = cantar | #Raiz #Espro #Griego
*OF- = serpiente | #Raiz #Espro #Griego
*OFIŽ- = trabajar | #Raiz #Espro
*OFR- = ofrecer | #Raiz #Espro
*OK- = ojo | #Raiz #Espro
*OKS- = acido, oxido | #Raiz #Espro #Griego

*-OL = adjetivo abundante | #sufijo #Espro
*-ON = humano intransitivo | #sufijo #Espro
*OL = paucativo | #Raiz #Espro #Nova
*OL- = opuesto, similar | #sufijo #Espro
*OL- = saludo | #Raiz #Espro #Nova
*OLF- = oler | #Raiz #Espro
*OLV- = aceite | #Raiz #Espro
*ON- = solo | #sufijo #Espro
*ON- = solo | #Raiz #Espro
*OND- = onda | #Raiz #Espro
*ONDR- = honor | #Raiz #Espro
*ONK- = onza, lince | #Raiz #Espro #Italico
*ONK- = tio | #Raiz #Espro
*ONĜ- = citrico | #Raiz #Espro #Nova

*-OR = colectivo | #sufijo #Espro
*-OS = verbo intransitivo | #sufijo #Espro
*OP- = cara | #Raiz #Espro #Griego
*OP-O- = oponerse | #Raiz #Espro
*OR- = hora | #Raiz #Espro #Griego
*OR- = orientar | #Raiz #Espro
*OR- = oro | #Raiz #Espro
*OR- = primitivo, primero | #sufijo #Espro
*ORB- = orbitar | #Raiz #Espro
*ORD- = orden | #Raiz #Espro
*ORG- = organizar | #Raiz #Espro
*ORN- = ave monstruosa | #Raiz #Espro #Griego
*ORO- = recto | #Raiz #Griego

*OST- = hueso | #Raiz #Espro
*OV- = huevo | #Raiz #Espro
*OZ- = oir | #Raiz #Espro #Nat-mod
*OŽ-AN- = oceano | #Raiz #Espro #Griego
*OŽ-M = albahaca | #Raiz #Espro

[P]

*PAF- = disparar | #Raiz #Espro
*PAJ- = padre ⭐ | #Raiz #Espro #Nova
*PAK- = paquete | #Raiz #Espro #Anglo #Bas
*PAL- = palido | #Raiz #Espro
*PALP- = palpar | #Raiz #Espro #Latin
*PALPAL = parpadear | #Raiz #Espro #Nova
*PAN- = todo | #Raiz #Espro
*PAND- = expandir | #Raiz #Espro
*PANS- = curar, vendar | #Raiz #Espro
*PAP- = alimentar | #Raiz #Espro
*PAPA = cotorro | #Raiz #Espro #Portugues
*PAPR- = papel | #Raiz #Espro
*PAR- = estar junto a, parte ⭐ | #Raiz #Espro
*-PAR- = junto a | #sufijo #Espro #Latin
*PAĈ- = pastar | #Raiz #Espro
*PAŠ- = andar, caminar | #Raiz #Espro
*PAO- = padecer, sentir | #Raiz #Espro #Griego #Nova

*PEL- = repeler, expeler | #Raiz #Espro
*-PEN- = casi | #sufijo #Espro
*PEN- = casi, faltar | #Raiz #Espro
*PEND- = colgar | #Raiz #Espro
*PENS- = pesar | #Raiz #Espro
*PEP- = pillar | #Raiz #Espro
*PER- = puerta | #Raiz #Espro #Nova
*PERD- = perder | #Raiz #Espro #Latin
*PERS- = Persia | #Raiz #Espro #Persa
*PET- = pedir | #Raiz #Espro
*PET- = petalo | #Raiz #Espro #Nova
*PEZ- = pagar | #Raiz #Espro #Nat-mod
*PI- = guisante | #Raiz #Espro #Nova
*PI- = soportar | #Raiz #Espro
*PID- = pie | #Raiz #Espro
*PIG- = flojo, lento | #Raiz #Espro
*PIL-K = pelota | #Raiz #Espro
*PIN- = punta, pico | #Raiz #Espro
*PIP- = pipa, tubo | #Raiz #Espro
*PIR- = pera | #Raiz #Espro
*PIR- = trigo | #Raiz #Espro #Griego
*PIS- = orinar | #Raiz #Espro #Nova
*PIĈ- = pinchar | #Raiz #Espro
*PIŠ- = pino | #Raiz #Espro
*PIΘ- = piton | #Raiz #Espro #Griego
*PIΘEK- = chimpance | #Raiz #Espro #Griego
*PIŽ- = picar | #Raiz #Espro
*PLUM- = pluma | #Raiz #Espro

*PLAT- = plano | #Raiz #Espro
*PLAĈ- = contentar, aplacar | #Raiz #Espro
*PLET- = llenar | #Raiz #Espro
*PLEC- = enredar | #Raiz #Espro #Nat-mod
*PLONG- = zambullirse | #Raiz #Espro #Frances
*PLOP- = alamo | #Raiz #Espro
*PLOR- = preguntar | #Raiz #Espro #Nat-mod
*PLU- = llover | #Raiz #Espro
*PLU- = mucho | #Raiz #Espro
*PLUK- = recoger | #Raiz #Espro
*PO- = para | #Raiz #Espro #Nat-plen
*PO-S = despues | #Raiz #Espro #Nova
*POJN- = muñeca | #Raiz #Espro
*POLV- = polvo | #Raiz #Espro
*POM- = fruta ⭐ | #Raiz #Espro
*PON- = occidente, poniente ⭐ | #Raiz #Espro
*PONĜ- = empaparse | #Raiz #Espro
*POR- = pasar | #Raiz #Espro
*PORK- = Puerco | #Raiz #Espro
*PORT- = portar | #Raiz #Espro
*PORC- = porche | #Raiz #Espro
*POSUM- = tlacuache | #Raiz #Espro #Anglo
*POT- = potar | #Raiz #Espro
*POV- = poder | #Raiz #Espro
PO- = despues | #sufijo #Espro

*PR- = antes | #Raiz #Espro
*PRA- = antes, anterior | #Raiz #Espro
*PRAV- = correcto | #Raiz #Espro
*PREF- = querer, preferir | #Raiz #Espro
*PREN- = tomar | #Raiz #Espro
*PRESK- = aproximar, acercar | #Raiz #Espro
*PRET- = listo | #Raiz #Espro
*PREĈ- = predicar | #Raiz #Espro #Latin
*PRI- = alrededor, cerca de | #sufijo #Espro
*PRIM- = presionar | #Raiz #Espro
*PRO- = a causa de, por | #sufijo #Espro
*PROV- = prueba | #Raiz #Espro #Italico #Bas
*PROĈ- = reprochar, quejarse | #Raiz #Espro
*PRU- = temprano, reciente | #Raiz #Espro #Germanico
*PRUD- = prudencia | #Raiz #Espro #Nat-plen
*PRUN- = ciruela | #Raiz #Espro
*PRUŽ- = chispear | #Raiz #Espro
*PUB- = puber | #Raiz #Espro
*PUBL- = poblar | #Raiz #Espro
*PULP- = carne | #Raiz #Espro
*PUN- = doler | #Raiz #Espro
*PUR- = puro | #Raiz #Espro
*PUT- = pozo | #Raiz #Espro #Latin #Bas
*PUŠ- = empujar | #Raiz #Espro
